sketch,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f15
3_trap,-0.4472135954999579,0.8944271909999159,307.8473647767673,0.9097531579442097,10.63014581273465,-0.7525766947068778,0.658504607868518,718.4818883541003,5.497787143782137,173.01928267111037,166.2362301053727,359137809.8054691,2.5029029846191406,67.5890905930356
3_a,-0.4472135954999579,-0.8944271909999159,196.2065238466856,0.9191404548360183,127.00393694685216,0.795250938104902,-0.6062804181591827,552.2235022867833,3.9269908169872423,33.573765137518656,32.36516553181395,123605820.51641,0.9202640056610107,4.348081764724148
3_star,-0.8944271909999159,-0.4472135954999579,324.9692293125612,0.8354652193384571,6.082762530298219,0.9863939238321437,-0.1643989873053573,1218.3636498483902,-12.566370614359172,150.86221542253426,121.64080786850707,255058931.2911243,2.0018250942230225,200.29775020473429
3_rectangular,0.0,1.0,402.54813376787627,0.44698248528686535,5.0,-0.6,0.8,1060.3257202896407,5.497787143782137,94.85797486834645,73.21357224828404,392349380.4937713,2.3972549438476562,212.06514405792814
3_square,-1.0,0.0,331.17065087353376,0.7469555733762603,1.0,0.0,1.0,867.5316156084618,6.283185307179586,115.1948913041821,95.59707075358581,36330437.53927082,2.232386827468872,867.5316156084618
3_c_pla,-0.8944271909999159,-0.4472135954999579,255.54842985234717,0.8324548123929811,127.12198865656563,0.2202608714346434,0.9754410020677065,448.62707575323157,4.390638425988048,30.125775284354912,15.142023670764889,130816374.5123141,0.6647019386291504,3.5291068090922346
3_b_pla,-0.8944271909999159,-0.4472135954999579,272.2590678012396,1.0562059896856038,221.19900542271884,0.10397876769855369,0.9945795171166005,1074.0552268872657,-5.497787143782138,54.59408690135354,42.96481872167396,2144696208.2188103,1.4563698768615723,4.855606040518625
3_square_pla,-0.7071067811865475,-0.7071067811865475,343.3322006453808,0.7380109848828483,4.0,0.0,-1.0,944.2483974361694,7.853981633974483,51.51561237833428,51.019707987962164,107518391.17967367,2.492729902267456,236.06209935904235
3_a_pla,-0.4472135954999579,-0.8944271909999159,258.8532402733255,1.0085115244523497,127.88275880665071,0.8210645514674284,-0.5708353548297359,726.3922702593602,-2.3561944901923453,28.892010481290065,22.54420030314538,35738782.514235355,0.9485561847686768,5.680142319713416
3_star_pla,-1.0,0.0,331.6941362158819,0.7662107529438632,9.055385138137417,-0.11043152607484653,-0.9938837346736188,1209.7473403661163,-7.068583470577034,106.3979710041305,70.72442420327006,143233317.90181968,2.0855178833007812,133.59424496161702
3_tra_pla,-0.7071067811865475,0.7071067811865475,287.36040089058895,0.8938814749524198,7.211102550927978,0.5547001962252291,0.8320502943378437,683.0006741688956,6.283185307179586,230.12987259981458,239.3521030266271,49359544.91726079,3.0805559158325195,94.71515199586254
3_horizontal_pla,-1.0,0.0,264.04734423962685,0.01893712990238084,256.0019531175495,0.9999923706927791,0.0039062201980186685,273.6418343834375,3.141592653589793,13.2624911576583,16.692259010338095,111619171.77582498,0.527209997177124,1.068905260491463
3_rectangular_pla,-0.4472135954999579,0.8944271909999159,372.5614043349096,0.4768521236172274,4.123105625617661,0.9701425001453319,0.24253562503633297,990.7105258896917,4.71238898038469,47.41884361059553,31.474422468605347,433281063.1040398,2.271785020828247,240.2825966267305
3_circle_pla,-1.0,0.0,253.20742485164214,0.7630555131973122,26.019223662515376,-0.9992611746313143,-0.03843312210120439,595.5398982869976,6.283185307179587,59.1965856241147,29.43265662293369,324119073.9475737,1.0942449569702148,22.888457627003024
